study,dataset,trial,epochs,v_a_acc↑^,v_r_acc,state,heads*,layers*,h_dim,drop,lr*,a_pdrop*,bs,es_pat,e_pdrop*,hidden_size,shared_r_drop*,r_pdrop*,source_study,source_trial,n_state,obj_metric,fp,vset,bw,eval_freq,epoch,t_loss,t_a_acc,t_r_acc,v_loss,s/epch
large-23-layer,large,3,85,0.4187,0.1305,COMPLETE,3,27,-,-,3.70e-04,0.123,-,-,-,-,-,0.010,-,-,2,valid_action_ac…,1024,n1+n5,1,125,   83,0.00725,0.49991,0.17634,0.05616, 329.1
large-24-26-layer,large,2,129,0.4139,0.1261,COMPLETE,3,24,-,-,2.50e-04,0.080,-,-,0.000,-,"{11.5: 1,...}",0.001,-,-,2,valid_action_ac…,1024,n1+n5,1,125,  112,0.00671,0.50506,0.18190,0.05608, 289.1
large-23-layer,large,0,110,0.3837,0.0993,COMPLETE,3,19,-,-,2.01e-04,0.122,-,-,-,-,-,0.007,-,-,2,valid_action_ac…,1024,n1+n5,1,125,  106,0.00840,0.44820,0.13244,0.05536, 235.0
large-emma-24-26_layer,large,2,121,0.3729,0.0903,COMPLETE,-,24,-,-,5.47e-04,0.120,-,-,0.000,-,-,0.001,-,-,2,valid_action_ac…,1024,n1+n5,1,25,  109,0.00645,0.44867,0.12674,0.04745, 472.5
large-23-layer,large,4,85,0.3701,0.0864,COMPLETE,4,27,-,-,1.13e-03,0.125,-,-,-,-,-,0.001,-,-,2,valid_action_ac…,1024,n1+n5,1,125,   81,0.00615,0.43655,0.11666,0.04422, 527.6
small-nonuniform-dropout-101,small,0,50,0.3671,0.1283,COMPLETE,-,-,-,-,-,-,-,-,-,-,[0 ... 1],-,-,-,2,valid_action_ac…,1024,n1+n5,1,25,   47,0.02400,0.37979,0.12547,0.05280,  48.3
small-nonuniform-dropout-102,small,0,50,0.3640,0.1240,FAIL,-,-,-,-,-,-,-,-,-,-,[1 ... 0],-,-,-,2,valid_action_ac…,1024,n1+n5,1,25,   46,0.02495,0.37343,0.12131,0.05318,  47.5
small-nonuniform-dropout-101,small,1,50,0.3620,0.1246,COMPLETE,-,-,-,-,-,-,-,-,-,-,[1 ... 1],-,-,-,2,valid_action_ac…,1024,n1+n5,1,25,   47,0.02440,0.37469,0.12151,0.05230,  49.1
small-nonuniform-dropout,small,0,50,0.3619,0.1246,COMPLETE,-,-,-,-,-,-,-,-,-,-,[True ... True],-,-,-,2,valid_route_acc…,1024,n1+n5,1,25,   47,0.02440,0.37463,0.12145,0.05230,  49.1
large-24-26-layer,large,0,110,0.3552,0.0833,COMPLETE,2,24,-,-,5.53e-04,0.001,-,-,0.036,-,"{11.5: 1,...}",0.024,-,-,2,valid_action_ac…,1024,n1+n5,1,125,  105,0.00679,0.40258,0.09575,0.05021, 990.0
compare_small_standard_dropout_baseline,small,2,200,0.3543,0.1164,COMPLETE,2,4,128,0.078,9.90e-04,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,  186,0.02107,0.36209,0.11367,0.07030,  10.3
baseline_small_hyperparameter_tuning,small,10,73,0.3543,0.1130,COMPLETE,2,26,128,-,4.15e-03,-,-,-,-,-,-,-,-,-,2,valid_route_acc…,1024,n1+n5,1,100,   56,0.00863,0.39023,0.11961,0.05782,  33.4
small-nonuniform-dropout-101,small,2,30,0.3536,0.1194,COMPLETE,-,-,-,-,-,-,-,-,-,-,[0 ... 1],-,-,-,2,valid_action_ac…,1024,n1+n5,1,25,   29,0.04094,0.36936,0.12104,0.06892,  48.8
small_baseline,small,2,82,0.3453,0.1087,COMPLETE,1,3,256,0.238,3.32e-03,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,   57,0.02869,0.34523,0.10497,0.07419,   8.1
compare_small_standard_dropout_baseline,small,6,144,0.3447,0.1061,COMPLETE,4,3,64,0.221,2.16e-03,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,   80,0.02928,0.34791,0.10797,0.07359,   9.4
large-emma-24-26_layer,large,0,25,0.3444,0.0705,RUNNING,-,24,-,-,5.99e-04,0.126,-,-,0.001,-,-,0.014,-,-,2,valid_action_ac…,1024,n1+n5,1,25,   24,0.01055,0.40114,0.09726,0.05217, 477.6
baseline_small_hyperparameter_tuning,small,4,80,0.3437,0.1084,COMPLETE,1,4,256,-,1.96e-03,-,-,-,-,-,-,-,-,-,2,valid_route_acc…,1024,n1+n5,1,100,   78,0.01642,0.34831,0.10202,0.05784,  10.5
compare_small_standard_dropout_baseline,small,1,19,0.3424,0.1065,FAIL,3,5,128,0.164,2.06e-02,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,   13,0.01980,0.34284,0.10408,0.06004,  14.0
compare2_small_standard_dropout,small,3,200,0.3419,0.1052,COMPLETE,2,2,256,0.122,2.27e-04,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,  196,0.06615,0.34808,0.10506,0.09678,  12.9
standard-v2-dropout-details,standard,1,100,0.3399,0.0862,COMPLETE,5,10,128,-,9.69e-04,0.166,-,-,0.006,-,-,0.087,-,-,2,valid_route_acc…,1024,n1+n5,1,50,   77,0.01764,0.34919,0.08242,0.05232,  73.2
large-23-layer,large,5,70,0.3387,0.0593,FAIL,5,27,-,-,1.06e-03,0.128,-,-,-,-,-,0.006,-,-,2,valid_action_ac…,1024,n1+n5,1,125,   63,0.00624,0.39810,0.08171,0.04146, 728.5
large-nonuniform-dropout-12-layers,large,0,100,0.3384,0.0776,COMPLETE,-,-,-,-,1.74e-03,0.182,-,-,0.023,-,[0 ... 0],0.037,-,-,2,valid_action_ac…,1024,n1+n5,1,25,   96,0.01055,0.35095,0.07506,0.05108, 121.1
large-merged,large,32,100,0.3384,0.0776,COMPLETE,5,12,128,-,1.74e-03,0.182,512,15,0.023,640,[0 ... 0],0.037,large-nonunifor…,0,2,valid_action_ac…,1024,n1+n5,1,100,   96,0.01055,0.35095,0.07506,0.05108, 121.1
large-nonuniform-dropout-12-layers,large,1,100,0.3370,0.0772,COMPLETE,-,-,-,-,1.85e-03,0.185,-,-,0.014,-,[0 ... 0],0.062,-,-,2,valid_action_ac…,1024,n1+n5,1,25,   96,0.01037,0.35387,0.07548,0.05018, 121.2
large-merged,large,33,100,0.3370,0.0772,COMPLETE,5,12,128,-,1.85e-03,0.185,512,15,0.014,640,[0 ... 0],0.062,large-nonunifor…,1,2,valid_action_ac…,1024,n1+n5,1,100,   96,0.01037,0.35387,0.07548,0.05018, 121.2
compare_small_standard_dropout_baseline,small,8,35,0.3365,0.1134,COMPLETE,4,5,256,0.055,9.55e-03,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,    9,0.01596,0.32941,0.09900,0.04290,  54.1
compare2_small_standard_dropout,small,1,200,0.3365,0.1029,COMPLETE,1,3,256,0.261,4.99e-04,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,  195,0.05459,0.33952,0.10180,0.08621,   9.3
compare2_small_structured_dropout,small,5,200,0.3362,0.1052,COMPLETE,3,2,128,0.005,2.89e-04,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,  198,0.05921,0.35002,0.10781,0.09519,   9.8
small-nonuniform-dropout,small,1,12,0.3357,0.1091,FAIL,-,-,-,-,-,-,-,-,-,-,[True ... True],-,-,-,2,valid_route_acc…,1024,n1+n5,1,25,   11,0.12008,0.34260,0.10920,0.13731,  49.0
large-23-layer,large,1,35,0.3356,0.0690,COMPLETE,4,19,-,-,2.56e-04,0.130,-,-,-,-,-,0.005,-,-,2,valid_action_ac…,1024,n1+n5,1,125,   31,0.01193,0.38835,0.09061,0.05734, 376.3
large-23-layer,large,2,85,0.3337,0.0581,COMPLETE,5,19,-,-,3.87e-04,0.122,-,-,-,-,-,0.007,-,-,2,valid_action_ac…,1024,n1+n5,1,125,   84,0.00672,0.39012,0.07700,0.04499, 523.1
compare2_small_standard_dropout,small,4,102,0.3321,0.0975,COMPLETE,2,4,64,0.226,4.08e-03,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,   47,0.03546,0.32521,0.09281,0.08037,   8.2
large-24-26-layer,large,1,154,0.3314,0.0696,COMPLETE,2,24,-,-,1.67e-04,0.025,-,-,0.013,-,{1: 0},0.204,-,-,2,valid_action_ac…,1024,n1+n5,1,125,  137,0.01028,0.35865,0.07345,0.05050, 269.8
compare_small_standard_dropout_baseline,small,9,145,0.3312,0.0974,COMPLETE,2,4,64,0.234,1.50e-03,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,  144,0.02966,0.32579,0.09281,0.07993,   7.8
nodropout-baseline,small,3,82,0.3310,0.1035,FAIL,3,2,64,-,6.54e-04,-,-,-,-,-,-,-,-,-,2,valid_route_acc…,1024,n1+n5,1,100,   81,0.07864,0.34161,0.10533,0.11467,   6.7
baseline_small_hyperparameter_tuning,small,9,80,0.3308,0.0977,COMPLETE,1,4,128,-,1.04e-02,-,-,-,-,-,-,-,-,-,2,valid_route_acc…,1024,n1+n5,1,100,   13,0.03267,0.33626,0.10014,0.08248,   6.3
small_baseline,small,5,30,0.3308,0.1069,FAIL,3,3,256,0.102,1.35e-02,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,   16,0.01424,0.33634,0.10122,0.04454,  23.4
small_baseline,small,3,153,0.3295,0.0977,COMPLETE,1,5,256,0.371,1.56e-03,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,  101,0.04098,0.32446,0.09241,0.07755,  11.5
large-24-26-layer,large,3,49,0.3257,0.0628,COMPLETE,3,24,-,-,1.96e-03,0.002,-,-,0.000,-,{1: 0},0.022,-,-,2,valid_action_ac…,1024,n1+n5,1,125,   47,0.00618,0.37066,0.07588,0.04041, 291.2
large-emma-24-26_layer,large,1,34,0.3252,0.0621,FAIL,-,26,-,-,6.04e-04,0.126,-,-,0.043,-,-,0.004,-,-,2,valid_action_ac…,1024,n1+n5,1,25,   26,0.01190,0.35068,0.06759,0.04900, 509.0
compare2_small_structured_dropout,small,2,200,0.3180,0.1003,COMPLETE,2,3,64,0.158,3.63e-04,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,  195,0.09081,0.31369,0.09022,0.11238,   7.5
compare2_small_structured_dropout,small,3,67,0.3175,0.0981,COMPLETE,3,2,256,0.093,1.27e-02,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,   13,0.01772,0.33354,0.10365,0.04549,  16.8
sunday-optuna-12trials-200epochs-4patience,small,1,200,0.3168,0.0974,COMPLETE,3,3,256,0.288,1.34e-04,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,  185,0.10052,0.31830,0.09174,0.10908,  23.3
compare2_small_structured_dropout,small,1,200,0.3167,0.0936,COMPLETE,3,4,128,0.121,1.57e-04,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,  199,0.11175,0.32228,0.09270,0.12665,  13.8
compare_small_standard_dropout_baseline,small,3,65,0.3144,0.0899,COMPLETE,3,5,64,0.309,1.17e-02,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,   31,0.02250,0.31041,0.08421,0.06533,   9.9
baseline-large-emma-21-layers,large,3,71,0.3126,0.0585,COMPLETE,4,26,-,-,2.45e-04,0.139,-,-,0.085,-,-,0.024,-,-,2,valid_action_ac…,1024,n1+n5,1,100,   61,0.01217,0.32968,0.05784,0.04711, 682.4
nodropout-baseline,small,2,200,0.3101,0.0899,COMPLETE,3,4,256,-,3.09e-04,-,-,-,-,-,-,-,-,-,2,valid_route_acc…,1024,n1+n5,1,100,  195,0.01398,0.34233,0.09813,0.04004,  47.0
compare_small_standard_dropout_baseline,small,11,200,0.3101,0.0947,COMPLETE,2,4,128,0.189,1.05e-04,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,  199,0.18363,0.30744,0.08787,0.18179,  10.8
standard-v2-dropout-details,standard,2,100,0.3050,0.0658,COMPLETE,5,8,96,-,8.34e-04,0.129,-,-,0.015,-,-,0.180,-,-,2,valid_route_acc…,1024,n1+n5,1,50,   91,0.02796,0.31997,0.06959,0.06449,  40.5
standard-v2-lr0005,standard,4,100,0.3035,0.0651,COMPLETE,2,8,128,0.047,9.79e-04,-,-,-,-,-,-,-,-,-,2,valid_route_acc…,1024,n1+n5,1,50,   97,0.04168,0.30328,0.06073,0.09265,  24.9
standard-v2-lr0005,standard,8,100,0.3011,0.0626,COMPLETE,4,4,64,0.147,2.04e-03,-,-,-,-,-,-,-,-,-,2,valid_route_acc…,1024,n1+n5,1,50,   78,0.03022,0.30468,0.06343,0.08585,  17.7
baseline_small_hyperparameter_tuning,small,11,80,0.3002,0.0811,COMPLETE,1,18,128,-,3.56e-03,-,-,-,-,-,-,-,-,-,2,valid_route_acc…,1024,n1+n5,1,100,   31,0.02566,0.30518,0.07839,0.07320,  14.9
baseline-large-emma-21-layers,large,2,100,0.2994,0.0536,COMPLETE,4,21,-,-,1.16e-04,0.152,-,-,0.130,-,-,0.017,-,-,2,valid_action_ac…,1024,n1+n5,1,100,   99,0.01677,0.30245,0.05106,0.05303, 410.4
standard-v2-lr0005,standard,2,100,0.2966,0.0620,COMPLETE,4,6,128,0.204,5.36e-04,-,-,-,-,-,-,-,-,-,2,valid_route_acc…,1024,n1+n5,1,50,   99,0.06781,0.30106,0.06299,0.10323,  40.4
nodropout-sd,small,1,200,0.2962,0.0890,COMPLETE,3,4,256,-,2.36e-04,-,-,-,-,-,-,-,-,-,2,valid_route_acc…,1024,n1+n5,1,100,   26,0.18195,0.30683,0.09187,0.18857,  47.8
large-emma-24-26_layer,large,3,18,0.2934,0.0446,FAIL,-,26,-,-,2.64e-03,0.122,-,-,0.000,-,-,0.004,-,-,2,valid_action_ac…,1024,n1+n5,1,25,   17,0.00919,0.33840,0.05793,0.04576, 509.6
compare_small_standard_dropout_baseline,small,7,50,0.2932,0.0774,COMPLETE,1,4,256,0.389,5.16e-02,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,   10,0.03323,0.27774,0.07173,0.06815,  10.5
compare_small_structured_dropout,small,3,76,0.2927,0.0862,FAIL,4,4,256,0.437,2.49e-04,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,   63,0.15381,0.28214,0.07341,0.13495,  44.7
standard-v2-lr0005,standard,1,100,0.2924,0.0603,COMPLETE,2,4,256,0.247,1.01e-03,-,-,-,-,-,-,-,-,-,2,valid_route_acc…,1024,n1+n5,1,50,   82,0.04857,0.29793,0.05878,0.08454,  30.9
standard-v2-lr0005,standard,7,100,0.2920,0.0622,COMPLETE,2,2,256,0.067,1.93e-04,-,-,-,-,-,-,-,-,-,2,valid_route_acc…,1024,n1+n5,1,50,   99,0.14947,0.29506,0.05968,0.17784,  18.8
standard-v2-lr0005,standard,12,32,0.2912,0.0592,FAIL,4,12,64,0.142,3.95e-03,-,-,-,-,-,-,-,-,-,2,valid_route_acc…,1024,n1+n5,1,50,   16,0.07801,0.29188,0.05642,0.11298,  31.2
large-nonuniform-dropout-12-layers,large,2,37,0.2912,0.0613,COMPLETE,-,-,-,-,9.26e-04,0.161,-,-,0.045,-,[0 ... 0],0.074,-,-,2,valid_action_ac…,1024,n1+n5,1,25,   35,0.04927,0.30238,0.05999,0.08277, 117.1
large-merged,large,34,37,0.2912,0.0613,FAIL,5,12,128,-,9.26e-04,0.161,512,15,0.045,640,[0 ... 0],0.074,large-nonunifor…,2,2,valid_action_ac…,1024,n1+n5,1,100,   35,0.04927,0.30238,0.05999,0.08277, 117.1
large-merged,large,1,100,0.2865,0.0493,FAIL,4,16,256,-,3.02e-04,0.161,128,20,0.125,1024,-,0.037,baseline-large-…,1,2,valid_action_ac…,1024,n1+n5,1,100,   99,0.01028,0.30174,0.04782,0.04550, 319.3
baseline-large-emma-21-layers,large,1,100,0.2865,0.0493,COMPLETE,4,16,-,-,3.02e-04,0.161,-,-,0.125,-,-,0.037,-,-,2,valid_action_ac…,1024,n1+n5,1,100,   99,0.01028,0.30174,0.04782,0.04550, 319.3
compare2_small_structured_dropout,small,9,178,0.2799,0.0740,FAIL,1,4,64,0.003,2.66e-04,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,  174,0.13459,0.27752,0.06847,0.15580,   7.1
sunday-optuna-test-small-10-trials-50-epochs,small,1,50,0.2773,0.0767,COMPLETE,2,24,128,0.255,3.43e-04,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,   49,0.20569,0.27940,0.07305,0.19697,  32.9
standard-v2-dropout-details,standard,4,100,0.2759,0.0518,COMPLETE,3,8,96,-,1.03e-03,0.049,-,-,0.251,-,-,0.052,-,-,2,valid_route_acc…,1024,n1+n5,1,50,   59,0.08635,0.28211,0.05371,0.11346,  26.1
compare2_small_structured_dropout,small,7,86,0.2738,0.0675,COMPLETE,1,4,256,0.261,8.62e-02,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,   12,0.02186,0.26386,0.06366,0.05820,  10.6
compare_small_standard_dropout_baseline,small,4,200,0.2735,0.0748,COMPLETE,1,3,128,0.432,1.33e-04,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,  198,0.25964,0.26137,0.06491,0.22394,   7.6
